AccessionNumber,Notes,TaxonName,Observer_ID,IdentificationType_C1,PreferredName_C1,Phylum,Class,Order,Family,Substrate,Country_CE1,NZAreaCode_CE1,Locality_CE1,Collector_CE1,CollectionDate_CE1,GeoReference_CE1,DecimalLatitude_CE1,DecimalLongitude_CE1
PDD 86305,"Public Note: Nothofagus menziesii with P. totara and Phyllocladus alpinus understorey; clumps, members of clump of different ages and joined by long rooting bases; height: up to 12 cm; pileus: up to 13 cm diam. hemispheric to convex with a  flat top, variable suggestions of an umbo or slight flutings. Surface smooth and faintly shining or with slight suede texture on some. Pale reddish brown at the centre, fading to the margins, pattern of irregular brownish scaly markings on some. Margin exceeds gills. Skin peels half way to centre. Flesh white, not very distinct from stipe. Some fibrils on cap surface just in from the margin look like remnants of veil; sipe: up to 2.5 cm at gills, very short and thick in young specimens, narrowest about the ring, base very bulbous and prolonged into a long ""root"". Flesh whitish, fibrous, solid, (water soaked looking in many). Surface whitish, faintly striaste and with a matt powdery bloom arranged in cross rows above the ring. Tending brownish esp. when handled and with loose surface fibrils below ring. Ring superior, whitish, membranous, coloured above from the spores, soon disappearing. Fragments of a lower (outer) veil below the main one and on the cap; gills: whitish at first then mushroom pink, adnexed (or sinuate ?) Free margin finely serrulate and whitish, long and short, crowded, papery. 20 per cm at cap edge; spores: print purple brown.",Phlegmacium,G.M. Taylor,Determination,Cortinarius (Pers.) Gray 1821,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,soil,New Zealand,Otago Lakes,"Makarora Valley, Haast Pass, Cameron's Flat",G.M. Taylor,1968/04/15,,,
PDD 86483,"Public Note: Beside stick; Suede mushroom pink hat, slim stem, bright mushroom pink gills",Agaricales Clem.,G.M. Taylor,Determination,Agaricales Underw.,Basidiomycota,Agaricomycetes,Agaricales,,litter,New Zealand,Auckland,"Riverhead State Forest, Ecological Reserve",G.M. Taylor,1983/06/11,,,
PDD 62304,"Public Note: PDD 62304 is a cultivated specimen of the edible mushroom Pleurotus pulmonarius, cultivated (and hence “collected” by me) in Auckland from a culture that was imported from Hong Kong.  That culture is ICMP 11780, received as “Pleurotus sajor-caju” from ST Chang, Hong Kong on 22/9/1987 as no. STCP1-27.  I gave the culture my collecting number 87-424.  The PDD specimen was likely made some years later, since Barbara Segedin’s annotation date is 15 June 1993. ",Pleurotus pulmonarius (Fr.) Quel.,B.P. Segedin,Determination,Pleurotus pulmonarius (Fr.) Quél.,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,,New Zealand,Auckland,"(Mt Albert, PDD quarantine)",P.K. Buchanan,, 2667540 6483390,-36.837625,174.761838
PDD 84215,"Public Note: Beech, some podocarps ( Rimu, Totara), Kanuka; Beech also near; height 6 cm, single; pileus: 7 cm diam. planoconvex, irregular surface with ""bloom"" of suede like texture, pale mushroom pink or fawn with some patches of deeper crimsony pink. Flesh pale lemon. Cut flesh became blue - (prussian blue) but only in one place as illustrated. Possibly caused by contact with rust on razor blade ??; stipe: 1.5 cm at level of pore surface, tapered upwards, Lemon yellow above, then pink and brown striate, whitish towards base. Flesh solid, bright lemon yellow and fibrous in the upper part, white at the base; pores: free from stipe. Lemon yellow pore surface, tube walls yellowish grey in section; Spore: print yellowish grey",Boletaceae,G.M. Taylor,Determination,Boletaceae Chevall. 1826,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,soil,New Zealand,Nelson,"Bainham, 15-mile Creek Bridge",L.R. Taylor,1970/01/01,,,
PDD 84156,"Public Note: Height: 10cm, diam.: 14cm; pileus: convex, rather bumpy with a  flatter or even depressed centre. Surface fibrillose, pinkish brown. Closely appressed aggregates of fibrils in places, resemble scales. Surface feels smooth. Margin white and torn, exceeds gills. Flesh whitish, distinct from stipe; stipe: 2 cm at top, tapered upwards. Ring median or slightly superior. Above ring pinkish fibrillose fading  down to ring, a white circle round the top of the stipe just where gills come to it. Below ring many rows of rough fibrillose scales (concentric), stipe fibrous, solid, with bulbous base, flesh may be more tenuous in the centre, outer flesh fibrous and browning when cut as in diagram; gills: free, deep, margin [jagged], long and short, crowded, ""mushroom"" pink or purple-brown; KOH, aniline oil and HNO3 conc. on cap and flesh - all negative",Agaricus subperonatus,G.M. Taylor,Determination,Agaricus subperonatus (J.E. Lange) Singer,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,soil,New Zealand,Dunedin,"North Otago, Kuriheka",L.R. Taylor,1968/03/31,,,
PDD 58729,,Iodophanus carneus (Pers.) Korf,P.R. Johnston,Determination,Iodophanus carneus (Pers.) Korf 1967,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,casing soil in mushroom farm,New Zealand,Mid Canterbury,"Prebbleton, Meadow Mushrooms Ltd.",L. Wade,1991/01/00,  2469680 5736460,-43.578237,172.500665
PDD 30080,,Chrysosporium luteum (Costantin) Carmichael,I.C. Harvey,Determination,Myceliophthora lutea Costantin,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,mushroom compost,New Zealand,Mid Canterbury,Lincoln,I.C. Harvey,1972/05/00,  2468690 5729710,-43.638936,172.487899
PDD 84141,Public Note: Heated greenhouse in shelf mixture round/between pots; Growing in warm temperature. Marked mushroom smell.; see Collection Notes (with watercolour) for descriptive details,Leucocoprinus,G.M. Taylor,Determination,Leucocoprinus Pat.,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,greenhouse chip mixture,New Zealand,Dunedin,"Oamaru Gardens, Hothouse",L. Senior,1967/08/27,,,
PDD 84327,"Public Note: Kauri - taraire by stream, Coprosmas, Lange Lange, Phyllocladus; Near stream; single specimen, soil over fallen log where the bank had slipped into the stream; pileus: 8 cm diameter plano convex, (centre depressed as it dried out). Dark pink-brown to almost black in centre, paling to margin. Surface with loose fluffy fibrils - almost woolly. Fibrils dense in centre, aggregated into woolly scales towards the margin. Margin exceeds gills in a pale, torn membrane. Flesh white, stained greyish; stipe: 1.2 cm x 7 cm, narrowest just above the ring, base widest. Grey longit. stains above ring esp. near gills otherwise smooth. Surface fluffy below ring with chocolate-pink fluff, darkening downwards. White at the base, and a single white rhizomortph branching out into the soil. Stipe flesh fibrous, tending hollow, generally white but dark grey near surface towards the cap. Ring superior, membranous, whitish above, below covered with pink fluff and with a circle of dark clumps near the lower margin; gills: free, pinkish grey, crowded, long and short, papery; spore print purple brown.",Agaricus L.,G.M. Taylor,Determination,Agaricus L. 1753,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,soil,New Zealand,Auckland,"Northcote, Kauri Glen",G.M. Taylor,1972/05/04,  2665120 6486980,-36.805724,174.733902
PDD 85620,"Public Note: Under Leptospermum/Kanuka and Phyllocladus; singly and pairs in close proximity;height to 8.5 cm; pileus: to 6.7 cm diam., hemispheric at first then planoconvex with a broad low umbo, surface dark purple blackish brown, consisting of oppressed very dark radial scales of fibrils over a fawn-pink background. Pale or whitish thin veil remnant around the margin. Flesh under the dk. skin, white, unchanging. Agreeable mushroom smell; stipe: 0.8-1.2 cm at gills, generally tapered upwards with narrowest part at the position of the superior ring. Smooth white or faint pearly grey above ring, some longit. striae just above ring; below ring a pale pink fawn background with upstanding loose dark fibrillar purple brown scales on the surface, thickly crowded. Ring membranous, white above and faintly striate, fluffy below twith purple-brown downy hyphae on underside, aggregated into a circlet of warts nr. margin; stipe: base bulbous, surface white. Flesh fibrous, white, solid in the bulb and tending hollow above. Generally unchanging in colour on exposure; gills: free, crowded, white with pink tinge when young and maturing to greyish,long and short, narrow and very crowded; spore print greyish.",Agaricus purpureoniger Heinem.,G.M. Taylor,Determination,Agaricus purpureoniger Heinem.,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,soil with moss,New Zealand,Auckland,"Kauri Glen, on ""Island"" at foot of drive",J.E. Braggins,1979/06/00, 2665215 6487070,-36.804896,174.734946
